,Title,Artist,Streams,Date,Followers
131,Não Fala Não pra Mim,Humberto & Ronaldo,560658,2019-01-01,814567
132,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,536886,2019-01-01,2466527
133,"Quem Pegou, Pegou - Ao Vivo",Henrique & Juliano,524230,2019-01-01,9035475
134,HaifischNikez Allstars,LX,544655,2019-01-02,55669
135,In My Head,Peter Manos,570324,2019-01-03,41233
136,Che cazzo ridi (feat. Trippie Redd),Fedez,672376,2019-01-04,1303051
137,This Is Me,Keala Settle,577349,2019-01-07,110940
138,More Than That,Lauren Jauregui,719969,2019-01-11,573881
139,È sempre bello,Coez,697014,2019-01-11,1293418
140,Só Pra Castigar,Wesley Safadão,564347,2019-01-13,7159452
141,Rewrite The Stars,Zac Efron,605636,2019-01-14,557197
142,Call Out My Name,The Weeknd,627760,2019-01-17,17289675
143,Stamm Fort (feat. Sfera Ebbasta),Luche,660380,2019-01-19,293783
144,Parado no Bailão,MC L da Vinte,649772,2019-01-19,176900
145,Grip,Seeb,585922,2019-01-21,133362
146,Make Eem Run!,Bass Santana,656653,2019-01-23,83778
147,Mile High,James Blake,656429,2019-01-23,898649
148,Never Recover (Lil Ba,"& Gunna, Drake)",636382,2019-01-24,0
149,Harmony Hall,Vampire Weekend,831675,2019-01-25,1446032
150,mother tongue,Bring Me The Horizon,741890,2019-01-25,2596248
151,Quem Me Dera,Márcia Fellipe,639792,2019-01-26,871795
152,Hob,Hob,693652,2019-02-02,0
153,Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,653649,2019-02-02,8093467
154,PPP,Kevin Roldan,648493,2019-02-02,2639987
155,SOLO,JENNIE,592307,2019-02-03,258251
156,Jenifer,Gabriel Diniz,571213,2019-02-03,863994
157,These Days,Rudimental,663659,2019-02-09,1092227
158,This Is America,Childish Gambino,662400,2019-02-11,5500602
159,La ragazza con il cuore di latta,Irama,695943,2019-02-12,940856
160,Make You Feel My Love,Adele,843563,2019-02-14,17792741
161,A Thousand Years,Christina Perri,791354,2019-02-14,2150372
162,If I Ain't Got You,Alicia Keys,733558,2019-02-14,6631768
163,The Night We Met,Lord Huron,697812,2019-02-14,583802
164,Dumb Blonde (feat. Nicki Minaj),Avril Lavigne,691673,2019-02-16,4996288
165,I Tuoi Particolari,Ultimo,586906,2019-02-17,1337131
166,So Close,NOTD,726677,2019-02-21,78284
167,Lost in the Fire,Gesaffelstein,728262,2019-02-22,281401
168,Fragen,Azet,717174,2019-02-22,865414
169,Speed It Up,Gunna,641833,2019-02-26,1402482
170,Never Go Back,Dennis Lloyd,674890,2019-02-28,313139
171,Be Like Me (feat. Lil Wayne),Lil Pump,705087,2019-03-01,6044750
172,Atrasadinha - Ao Vivo,Felipe Araújo,669148,2019-03-02,2392958
173,Dile la Verdad,The Rudeboyz,652558,2019-03-02,8614
174,Agora é Tudo Meu,Dennis DJ,621169,2019-03-03,1320990
175,Hoje Eu Vou Parar Na Gaiola,Mc Livinho,577703,2019-03-03,4840770
176,Almeda,Solange,642563,2019-03-04,860894
177,Bones (feat. OneRepublic),Galantis,614207,2019-03-04,2744585
178,Whip (feat. Travis Scott),2 Chainz,667763,2019-03-05,4910296
179,Lucky You (feat. Joyner Lucas),Eminem,629275,2019-03-05,29967269
180,What A Time (feat. Niall Horan),Julia Michaels,671015,2019-03-07,2208346
181,Asesina - Remix,Brytiago,667069,2019-03-07,1841565
182,Two of Us,Louis Tomlinson,813241,2019-03-08,2512233
183,Lo/Hi,The Black Keys,791570,2019-03-08,2984453
184,CROWN,TOMORROW X TOGETHER,611323,2019-03-11,785263
185,I Love It (& Lil Pump),Kanye West,619897,2019-03-12,10403354
186,Look Alive (feat. Drake),BlocBoy JB,633094,2019-03-13,894562
187,Electricity (with Dua Lipa),Silk City,697700,2019-03-15,44713
188,Mademoiselle,Sfera Ebbasta,652725,2019-03-16,3396931
189,Ni Gucci Ni Prada,Kenny Man,639477,2019-03-16,98267
190,BEBE,6ix9ine,573296,2019-03-17,4275660
191,Falling Down - Bonus Track,Lil Peep,599446,2019-03-18,2641656
192,Almost (Sweet Music),Hozier,658987,2019-03-20,3434950
193,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,642976,2019-03-21,17009808
194,Ta To Gucci (Remix),Cauty,663354,2019-03-23,72868
195,Girls Need Love (with Drake) - Remix,Summer Walker,631898,2019-03-26,534292
196,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,660367,2019-03-28,443960
197,Maman ne le sait pas (feat. Niska),Ninho,713868,2019-03-29,2205849
198,Space Cadet (feat. Gunna),Metro Boomin,647389,2019-04-02,1487420
199,Fingías,Paloma Mami,701585,2019-04-04,463740
200,Let You Love Me,Rita Ora,697017,2019-04-04,4905190
201,Nobody,Martin Jensen,657041,2019-04-04,615402
202,Poquito,Anitta,917921,2019-04-05,8117364
203,Inmortal,Aventura,803296,2019-04-05,3116676
204,Blackberry Sky,Eno,681471,2019-04-06,347554
205,Splashin,Rich The Kid,631986,2019-04-09,1784310
206,HUMBLE.,Kendrick Lamar,642549,2019-04-11,13261942
207,Borderline,Tame Impala,715904,2019-04-12,2863712
208,Contando Lunares (feat. Cruz Cafuné),Don Patricio,659921,2019-04-13,177821
209,Bubalu,Becky G,562917,2019-04-14,6220795
210,good,e,627467,2019-04-15,444911
211,Undrunk,FLETCHER,631833,2019-04-16,132535
212,Nights Like This (feat. Ty Dolla $ign),Kehlani,652669,2019-04-17,2790585
213,Insomnia,Daya,706022,2019-04-18,969229
214,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),Nipsey Hussle,619668,2019-04-23,1095464
215,"No New Friends (feat. Sia, Diplo, and Labrinth)",Sia,618908,2019-04-25,13951181
216,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)",Charlie Charles,776158,2019-04-26,378664
217,Jenny of Oldstones (Game of Thrones),Florence + The Machine,751680,2019-04-26,4827189
218,okay,LANY,705351,2019-04-26,1915481
219,Speechless (feat. Erika Sirola),Robin Schulz,659189,2019-04-30,2185643
220,R.I.P. (feat. Rita Ora & Anitta),Sofia Reyes,622404,2019-04-30,1107961
221,Pa Olvidarte (feat. Manuel Turizo) - Remix,ChocQuibTown,620197,2019-04-30,347556
222,Moonlight,Gaullin,585335,2019-05-01,46844
